job_title,job_link,label,company_name,city_name,post_time,country_name,job_type,Experience Needed:,Career Level:,Education Level:,Salary:,job_description,job_requirements,Gender:
Software Engineering,https://wuzzuf.net/jobs/p/shKdDYwmI0Eo-Software-Engineering-Microsoft-Aggregated-Cairo-Egypt,mobile app,Microsoft ,Cairo,9 daysago,Egypt,Full Time,Not Specified,Not specified,Not Specified,Confidential,"Our SwiftKey app empowers millions of people globally to communicate faster and more effectively with cutting-edge AI capabilities. With your help we will be able to deliver our mission at speed without compromising the stability and reliability of this integral piece of software. You’ll join us in the Mobile and Android team within the Web Experiences organisation in Cairo, where our mission is to empower every person and organization to achieve more, by focusing on building engaging content, services, experiences, and platforms for customers.This role will give you ample opportunity both to use the skills you already have, and to learn and grow in the areas most important to you, in the company of a vibrant team of other curious and capable engineers.As employees we come together with a growth mindset, innovate to empower others and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.","Our SwiftKey app empowers millions of people globally to communicate faster and more effectively with cutting-edge AI capabilities. With your help we will be able to deliver our mission at speed without compromising the stability and reliability of this integral piece of software. You’ll join us in the Mobile and Android team within the Web Experiences organisation in Cairo, where our mission is to empower every person and organization to achieve more, by focusing on building engaging content, services, experiences, and platforms for customers.This role will give you ample opportunity both to use the skills you already have, and to learn and grow in the areas most important to you, in the company of a vibrant team of other curious and capable engineers.As employees we come together with a growth mindset, innovate to empower others and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.",
Senior Software Engineer,https://wuzzuf.net/jobs/p/fpv6zFLw8clL-Senior-Software-Engineer-Microsoft-Aggregated-Cairo-Egypt,mobile app,Microsoft ,Cairo,9 daysago,Egypt,Full Time,Not Specified,Not specified,Not Specified,Confidential,"Our SwiftKey app empowers millions of people globally to communicate faster and more effectively with cutting-edge AI capabilities. With your help we will be able to deliver our mission at speed without compromising the stability and reliability of this integral piece of software. You’ll join us in the Mobile and Android team within the Web Experiences organisation in Cairo, where our mission is to empower every person and organization to achieve more, by focusing on building engaging content, services, experiences, and platforms for customers.This role will give you ample opportunity both to use the skills you already have, and to learn and grow in the areas most important to you, in the company of a vibrant team of other curious and capable engineers.As employees we come together with a growth mindset, innovate to empower others and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.","Our SwiftKey app empowers millions of people globally to communicate faster and more effectively with cutting-edge AI capabilities. With your help we will be able to deliver our mission at speed without compromising the stability and reliability of this integral piece of software. You’ll join us in the Mobile and Android team within the Web Experiences organisation in Cairo, where our mission is to empower every person and organization to achieve more, by focusing on building engaging content, services, experiences, and platforms for customers.This role will give you ample opportunity both to use the skills you already have, and to learn and grow in the areas most important to you, in the company of a vibrant team of other curious and capable engineers.As employees we come together with a growth mindset, innovate to empower others and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.",
Front End Developer React,https://wuzzuf.net/jobs/p/5shw5NpzWkkS-Front-End-Developer-React-Giza-Egypt,mobile app,Confidential ,Haram,22 daysago,Egypt,Full Time,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Responsible for the design and implementation of user interfaces (UIs) and UI components using React, a front-end JavaScript library. They develop and maintain UIs for web and mobile apps.","Bachelor’s degree in computer science, information technology, or a similar field.Previous experience working as a react.js developer.In-depth knowledge of JavaScript,CSS, HTML, and front-end languages.Knowledge ofREACTtools includingReact.js, Webpack, Enzyme, Redux, and Flux.Experience with user interface design.Knowledge of performance testing frameworks including Mocha and Jest.Experience with browser-based debugging and performance testing software.Excellent troubleshooting skills.Good project management skills",
Senior UX/UI Designer,https://wuzzuf.net/jobs/p/kXGW3vnbzMjc-Senior-UXUI-Designer-Algoriza-Giza-Egypt,mobile app,Algoriza ,Giza,23 daysago,Egypt,Full Time,4 to 6 years,Experienced (Non-Manager),Not Specified,Confidential,"• Research Strategy and being of the UX Research execution. .• Create Interview / focus group / UX workshop scripts, objectives, outcomes, and moderate events. .• Creating benchmarking and best practices study and reporting it to the key stakeholders. .• Planning and moderating need finding sessions. .• Drafting and Creating Research Reports. .• Creating on Information Architecture / User Flows of the mobile / web apps / websites .• Creating Interactive wireframes .• Plan / Moderate, and report Usability Testing sessions. .• Designing Pixel Perfect Interactive UI Designs. .• Creating and maintaining Design System and Design System Guidelines. .• Optimize the handover process to the Development and Design teams. .• Designing digital/online experiences using Figma, Sketch, and/or Adobe XD. .• Be part of the Ideation and Ideas impact and workability sessions. .• Collaborate in brainstorming sessions with the team and promotes team alignment .","•4+ years of professional UX and UI Design experience, having done multiple successful Projects.• Passion for making high-quality experiences, and a demonstrable portfolio.• Experience directing and mentoring designers.•Graduate equivalent combination of education in a related field.• Related fields include Design, HCI, Computer Science, or related fields.• Profound knowledge of user-centered design principles and practices.• Strong understanding of the brand and branding principles.• Ability to understand user needs are proficient with user research methodologies and practices.• Advanced knowledge of Figma, Sketch, and Adobe CS Illustrator, Photoshop, InDesign).• Proven collaboration, facilitation, interpersonal, presentation, and communication skills.• Strong analytical and problem solving skills.• Innovative thinking, empathy, and a desire to continuously learn and evolve.• Excellent at building consensus across multiple teams and stakeholders.• Ability to create and maintain working relationships with a geographically distributed team",
Game Developer,https://wuzzuf.net/jobs/p/ZVh6YsKAw50O-Game-Developer-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt,mobile app,Selah ElTelmeez For Publishing & printing ,Obour City,3 daysago,Egypt,Full Time,1 to 3 years,Experienced (Non-Manager),Not Specified,Confidential,"Contribute to collect and validate business requirements with different the development teams. .Work on code designing and code developing according to schedule (Agile methodology). .Write the code to execute the user stories on application. .Design activities in terms of mobile application UI/UX. .Design activities in terms of mobile application service functionalities, business processes that are administered by mobile application service, technology architecture that carries mobile application services, and measurements of mobile application performance. .Development activities in terms of application development to meet set business requirements. .Building, assembling and prepare for testing activities of mobile application services as well the management of infrastructure technology architecture. .Ensure that the code has been written correctly (Debugging). .Test the output according to the requirements from the user experience. .Fix the bugs received from testers. .Publish the updates on app, app gallery and play store. .Provide technical support on app according to customer requirements. .Apply any additional tasks according to the role requirements. .Apply HSE regulations.",Bachelor's degree in computer science is preferred.1-3 years of experience in software engineeringDesign pattern knowledgeExcellent in OOPWorking according to agile methodologyGood knowledge of flutterskills:CommunicationProject managementFlexibilityCreativityTime managementWorking under pressureAttention to details,
Remote - Senior React Developer at Revealsite,https://wuzzuf.net/jobs/p/MUYxQctlFofO-Remote---Senior-React-Developer-at-Revealsite-RS-Cairo-Egypt,mobile app,RS ,Cairo,20 daysago,Egypt,Full Time,3 to 6 years,Experienced (Non-Manager),Not Specified,13000 to 16000 EGP Per Month,"Develop and enhance web applications using React, tailored specifically for the healthcare sector. .Collaboratively work with a remote team of designers, developers, and project managers to create innovative digital solutions for healthcare clients. .Ensure robust and responsive design in all products, optimized for a range of devices. .Prioritize performance and scalability in application development, adhering to industry standards. .Maintain code quality through clean coding practices and participate in peer code reviews. .Stay abreast of the latest trends in web development and healthcare technology.","3-6 years of professional experience in React development.Strong command of JavaScript and React.js, with a focus on efficient, scalable code.Interest or background in developing solutions for the healthcare industry.Proficient in web technologies and frameworks, including HTML5, CSS3, Node.js, and RESTful services.Skilled in using modern front-end tools like Babel, Webpack, and NPM.Capable of building and integrating APIs in complex web systems.Strong skills in responsive and adaptive design.Excellent problem-solving abilities and meticulous attention to detail.Fluent in English, with strong communication skills for effective remote collaboration.Bachelor’s degree in Computer Science, IT, or related field, or equivalent experience.",
Retention Marketing Specialist,https://wuzzuf.net/jobs/p/jvAIzNk8zKxj-Retention-Marketing-Specialist-Boutiqaat-Cairo-Egypt,mobile app,Boutiqaat ,Heliopolis,29 daysago,Egypt,Full Time,2 to 6 years,Experienced (Non-Manager),Not Specified,Confidential,"Boutiqaat is now hiring a Digital Marketing Executive: .Work: Full-Time .Location: Heliopolis .•              Own and drive the repeat revenues and LTVs for customers .•              Create daily CRM campaigns and optimize for revenue .•              Major focus on automation and automated journeys .•              Build everything from scratchand build decision basis data, highly data-oriented .•              Cohort movement between categories and increasing purchase rate .•              Interdepartmental dependencies and ability to drive the required work through other teams .•              Hands-on experience required, who canget hands-dirtywith the junior team members .•              Design and execute retention campaigns for mobile web, apps, and web platforms .•              Developing and managing the Retention Strategy to optimize Key Performance Indicators .•              Including customer lifetime values, retention/churn levels, and average revenue per player .•              Responsible for segmentation of the customers based on their behavior. .•              Creation and implementation of an optimized daily/weekly/monthly campaign program tailoring .•              Communication to different customer segments identified through CRM tool. .•              Work closely with the Analytics and tech team to build required retention functionalities .•              Generate and circulate the weekly and monthly retention reports to various stakeholders. An analytical bent of mind with an ability to collate, analyze and present data to drive clear insights into the business and make decisions to meet retention KPIs. .•              Excellent understanding of CRM, Push Notifications, Native inbox, email marketing and mobile marketing, WhatsApp marketing, SQL, excel, etc .•              Preferably worked for an Ecom, Fintech, Quick Commerce, Fundtech, ed-tech startups","Professional Experiences•              Minimum 2 years of Retention marketing experienceShould have experience in Planning, Handling & executing CRM campaigns with a deep•              understanding of customer lifecycle, purchase habits, loyalty, personalization, and analytics•               Should have prior experience in managing all channels of CRM including SMS, email, push/web•              notifications, direct mail, in-app and on-site•               Experience working on the Engagement tool, Mo Engage & Clever Tap•               Strong analytical and number-crunching skills•               Strong communication skills.Functional & Behavioral Competencies•               Analytical Skills•               Multiple stakeholder management•               Growth mindset•               Entrepreneurial mindsetWe Offer:Attractive packageHealth InsuranceThe opportunity to become part of a highly professional and dynamic team working around the world.Healthy Environment",
Senior Flutter Developer,https://wuzzuf.net/jobs/p/qENVoAWTWF60-Senior-Flutter-Developer-Cairo-Egypt,mobile app,Confidential ,Nasr City,16 daysago,Egypt,Full Time,5 to 10 years,Experienced (Non-Manager),Bachelor's Degree,"30000 to 40000 EGP Per Month, Confidential, Medical Insurance,Social Insurance","Create well-designed, testable, efficient code .Participate in all phases of the development life-cycle .Assist in the preparation and production of releases of software components .Ensure designs are in compliance with specifications .Independently craft project solutions by applying solid Object-Oriented-Design principles. .Ensure the performance, quality, and responsiveness of applications. .Develop customer-specific solutions and extend our own track & trace software products .Follow established development best practices, unit test conventions, and teams coding style .Follow the best practices while developing the app and also keep everything structured and well documented. .Use CI/CD for smooth deployment. .Document the project and code efficiently. .Manage the code and project on Git in order to keep in sync with other team members and managers. .Communicate with the Project Manager regarding the status of projects and suggest appropriate deadlines for new functionalities. .Ensure security guidelines are always followed while developing the app. .Validate the cloud system to ensure any new changes do not compromise the security of the back-end server. .Connect regularly with the Quality Assurance Specialist to deliver a stable app. .Resolve all the bugs reported by the Quality Assurance Specialist in a timely manner. .Perform time profiling and memory leaks assessment. .Execute app verification protocol. .Write tests for the App. .Following company policies and quality procedures to ensure quality product deliverable.","1- BSc/BA in Computer Science, Engineering or a related field.2- 5+ Years of hands-on experience in design, developing and delivering cross platform Flutter.3- Have two or more iOS/Android apps developed with Flutter. Either deployed on the AppStore/Google Play 4- or available on Github.5- Experience in designing and developing custom controls for Android, Windows and iOS.6- Experience with third-party libraries and APIs;7- Proficient in both front-end web development as well as back end application development using .NET/C#.8- Hands-on experience in design mobile back-end services web API.9- Experience with HTML, XML, CSS, AJAX, JQUERY, Angular12+, …10-Strong background in object oriented development techniques.11-Strong communication skills in both languages Arabic and English.12-Understanding of Software Development Life Cycle and Agile methodologies.13-Strong knowledge in C#.net and SQL Server Database with Entity Framework.14-Solid foundation in data structures, algorithms, and object orientation design.15-Knowledge on Agile and Scrum approach is must.16-Should have a strong knowledge of OOPS and intermediate knowledge of front-end GUI design and development.17-Must be a team player and self-starter with ability to communicate clearly with clients and team-embers in English as Main Language.18-Experience with mobile application deployment (AppStore, Google play,…)",
E Commerce Specialist,https://wuzzuf.net/jobs/p/qiu4HePmNIIb-E-Commerce-Specialist-Orchidia-Pharmaceutical-Industries-Cairo-Egypt,mobile app,Orchidia Pharmaceutical Industries ,Obour City,10 daysago,Egypt,Full Time,2 to 4 years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,"Ensure a consistent, contextual & relevant customer journey across all ecommerce platforms (including desktop, mobile site and app)Optimize and enrich all Products details pages on Mobile and desktop .Developing subject matter expertise in assigned product categories and taking ownership of daily business administration on assigned accounts. .Cultivating standards, systems and best practices for content creation, distribution, maintenance, and new product listings. .Working with product management, sales, graphics, and other relevant departments to provide updated content for assigned accounts to be shared across e-commerce platforms. .Possessing a comprehensive understanding of account-specific SEO best practices, pricing policies, media assets, inventory and/or pre-orders. .Having the ability to multi-task, prioritize and successfully meet several deadlines at once while maintaining attention to detail. .Possessing a strong knowledge of the e-commerce space including competitive strategies, marketing strategies, product development, consumer research, usability best practices and industry trends. .Using Spreadsheets or Excel in addition to web analytics to stay organized and monitor changes in product sales and identify opportunities for improvement. .Manage consumer based programs like, loyalty and affiliate.",Bachelor’s DegreeMinimum 2 years of e-commerce experienceExperience building and reporting using google analyticsAdvanced knowledge in Microsoft Excel VLOOKUP Pivot Tables Must be accurate and detail orientedCreative problem solver with excellent follow up skillsMust be dependable logical consistent and be able to manage multiple projectsAbility to identify errors and omissions and formulate a correction prevention planExcellent written and verbal communication skillsExcellent Customer Service Experience,
React Frontend Developer,https://wuzzuf.net/jobs/p/Bf9ZG82AwzBB-React-Frontend-Developer-Geek-Labs-Cairo-Egypt,mobile app,Geek Labs ,Maadi,20 daysago,Egypt,Full Time,More than 2 years,Entry Level (Junior Level / Fresh Grad),Not Specified,8000 to 15000 EGP Per Month,"Accurately translate user and business needs into functional frontend code .Developing high-quality frontend applications .Continuous application maintenance, testing, and debugging .Collaborating with team members to ensure successful integration .Optimizing application load times .Completing projects within the expected timeline .Creating custom websites and apps","Bachelor's degree or equivalent in Computer Science preferred2+ years' experience in frontend developmentA portfolio of successfully completed projectsExcellent knowledge of HTML, CSS and JavaScript, and React FrameworkTeam player with a commitment to quality",
Copywriter (Arabic Speaker),https://wuzzuf.net/jobs/p/N8miQhQymvc0-Copywriter-Arabic-Speaker-Scorp-Inc-Riyadh-Saudi-Arabia,mobile app,Scorp Inc ,Riyadh,2 daysago,Saudi Arabia,Full Time,Not Specified,Not specified,Not Specified,Confidential,"Write original copy and edit content for a range of marketing and communications materials .Stay up-to-date with industry trends and emerging topics to ensure content remains valuable to target audiences. .Edit and proofread content for accuracy, grammar, and style. .Measure the success of content marketing campaigns through analytics and make data-driven recommendations for improvement. .Raise the bar continually for writing fresh copy that connects with a desired audience and drives action. .Thrive in a fast-paced, collaborative environment with a high-volume workload often requiring short turnaround times. .Work with cross-functional teams to develop and execute content strategies that align with overall business goals.","About UsScorp Inc. is a fast-growing social media start-up based in Istanbul and San Francisco. We created a number of mobile applications, including the ‘world’s most genuine social network Scorp app. With over 16M users worldwide, Scorp app has successfully re-defined the social network in Turkey. Now, we are on a mission to redefine the social and entertainment scene with our newly launched Apps, which have already reached 100M+ users!Job DescriptionWrite original copy and edit content for a range of marketing and communications materialsStay up-to-date with industry trends and emerging topics to ensure content remains valuable to target audiences.Edit and proofread content for accuracy, grammar, and style.Measure the success of content marketing campaigns through analytics and make data-driven recommendations for improvement.Raise the bar continually for writing fresh copy that connects with a desired audience and drives action.Thrive in a fast-paced, collaborative environment with a high-volume workload often requiring short turnaround times.Work with cross-functional teams to develop and execute content strategies that align with overall business goals.Qualifications1-3 years of experience in a creative agency is a mustExperience in an app promotion is a big plusBeing native in Arabic and fluent in EnglishExcellent organizational skills and multitasking abilityAbility to work independently or with a team to meet deadlinesExperience with content management systems",
Remote - Operations Manager,https://wuzzuf.net/jobs/p/aDKJURDHEYhT-Remote---Operations-Manager-RS-Cairo-Egypt,mobile app,RS ,Cairo,19 daysago,Egypt,Full Time,3 to 5 years,Manager,Not Specified,12000 to 15000 EGP Per Month,"Manage and oversee the execution of our services, including digital marketing campaigns, website, and app development. .Utilize your technical knowledge to guide and support our project teams. .Oversee the team handling digital marketing campaigns, ensuring they meet client objectives and expectations. .Act as the primary liaison for our clients, handling their needs and building lasting relationships. .Coordinate project resources and timelines to ensure efficient and successful project completion. .Lead our team, promoting a positive and collaborative work environment.","Requirements:Strong technical background with a good understanding of digital marketing operations.Experience in managing service delivery, particularly in a tech or marketing environment.Excellent leadership and communication skills.Fluency in English.Bachelor’s or master’s degree in Business, Information Technology, or a related field.At least 3-5 years of experience in a similar role, preferably in a startup environment.",
ERPNext Developer,https://wuzzuf.net/jobs/p/ksqHGzO9Dt4W-ERPNext-Developer-Pro-Dev-Tech-Cairo-Egypt,mobile app,Pro Dev Tech  ,Cairo,2 monthsago,Egypt,Full Time,More than 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Implementing ERPNext based on clients' requirements including installation, configuration, data migration, customization, training and support. .Implement Integration between ERPNext and other systems “other ERP systems, websites, mobile apps …. etc.” .Studying and Investigating work flows and improve the ways the system handles. .Building full applications on Frappe framework from scratch as per project requirements. .Managing updates and upgrades of the ERPNext system for existing projects. .Ensuring a smooth transition for current customizations with upgrades of Frappe and ERPNext.","BSc. Degree in computer science or engineering.Experience with previous projects of ERPNext which can be showcased in Interview.Experience on Frappe framework.Working knowledge of Python, Javascript, CSS, HTML and Jinja templates.Familiarity with current ERPNext features and functionalities.",
Flutter Developer,https://wuzzuf.net/jobs/p/VfMYzUAhCozk-Flutter-Developer-Bydotpy-Cairo-Egypt,mobile app,Bydotpy ,New Cairo,1 monthago,Egypt,Full Time,2 to 3 years,Experienced (Non-Manager),Not Specified,Confidential,"You will create multi-platform apps for iOS and Android using Google's Flutter development . .Collaborate with cross-functional teams to define, design, and ship new features. .Work with outside data sources and APIs. .Unit-test code for robustness, including edge cases, usability, and general reliability. .Work on bug fixing and improving application performance. .Continuously discover, evaluate, and implement new technologies to maximize development efficiency.","Degree in Computer Science preferred or relevant field.2 to 3 years of work experience as a mobile developer, android/flutter.Development of at least two published apps using  Flutter deployed on the AppStore and Google Play.Experience with third-party libraries and APIs.Should Posses excellent debugging skills for troubleshooting and maintaining the responsive design of applications.Familiar with Code Source Management like Git and TFS.Strong knowledge of Android SDK, different versions of Android, and how to deal with different screen sizes.Familiarity with RESTful APIs to connect Android/ IOS applications to back-end services.Strong knowledge of Android/ IOS UI design principles, patterns, and best practices.Experience with offline storage, threading, and performance tuning.Strong knowledge of Kotlin, RxJava, Flutter, and Dart.Knowledge of the open-source Android ecosystem and the libraries available for common tasks.Ability to understand business requirements and translate them into technical requirements.Familiarity with cloud message APIs and push notifications.A knowledge of benchmarking and optimization.Understanding of Google’s Android design principles and interface guidelines.Familiarity with project management tools like Jira.Proficient understanding of test-driven development.Familiarity with continuous integration.Nice-to-Have SkillsExperience with other front-end frameworks or libraries, such as Angular or Vue.js.Familiarity with mobile app development using React Native.Knowledge of performance optimization techniques for web applications.Experience with build tools and automation, such as Webpack, Babel, or Gulp.work condition:5 working days: Sunday to Thursdayworking hours 10 Am to 6 Pm.What Bydotpy Offers:A competitive salary and performance-based bonuses.A benefits package that includes social and medical insurance.An exciting company culture that encourages creativity and innovation.Professional development opportunities in a fast-growing company.Please submit your application with your resume and a brief summary of your relevant experience.",
Backend Laravel Developer (Experienced),https://wuzzuf.net/jobs/p/lHEcMXyYxYrc-Backend-Laravel-Developer-Experienced-Road9-Media-Cairo-Egypt,mobile app,Road9 Media ,Maadi,2 monthsago,Egypt,Full Time,4 to 6 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Design, build test, and deliver the core backend modules using Laravel. .Collaborate with the business to define, design, and ship new features. .Write clean, beautifully architected, reusable, and maintainable Laravel code using robust software architectural patterns – MVC, Repository Pattern, Service Oriented Architecture (SOA) patterns as required in components. .Develop organized APIs and RESTful services for the main core application. .Write unit tests for all code developed before pushing to the code repository and covering all cases. .Integrate with other third-party APIs to retrieve and manage third-party data. .Store, retrieve, and update data in the database using Eloquent on MySQL. .Ensuring consistent code, error management, and logging architecture between core services and the frontend applications. .Work on bug fixing and improving application performance. .Cache responses to improve performance using Redis and other caching solutions. .Identify and correct bottlenecks and fix bugs. .Continuously discover, evaluate, and implement new libraries to maximize development efficiency. .Maintain and update DevOps scripts using GitLab Yaml.","MUST have: Hands-on experience in building PHP web applications using well-known PHP frameworks.MUST have: Hands-on experience in building RESTful APIsMUST have: MySQL Database design & development experienceMUST have: Knowledge of version control systems such as GITMUST have: Hands-on experience in building web applications using Laravel PHP framework.MUST have: Good experience with problem solving & knowledge of how to debug, test, and document issues.MUST have: Ability to implement unit tests.Good to have: Skills in data migration, transformation, and scripting.Good to have: Understanding of fundamental design principles behind a scalable application.Good to have: Familiar with Linux OS and its command line interface commands.Good to have: Background in cross-platform mobile app development.",
Senior Backend Developer,https://wuzzuf.net/jobs/p/FE1o4CNFJ4fg-Senior-Backend-Developer-FlapKap-Cairo-Egypt,mobile app,FlapKap ,Maadi,22 daysago,Egypt,Full Time,4 to 8 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Design, develop and test new features and maintain old ones .Optimize our codebase for quality and scalability .Enhance our practice in continuous integration, test automation and other state of the art practices .Collaborate with other team members and stakeholders .Mentor junior members of the team to grow our skill base","What skills do you need?You have the capacity to work autonomously in a rapidly changing and sometimes ambiguous environmentYou have previous experience (4+ years) developing server-side solutions at considerable scaleYou've worked with any JVM language beforeWe're confident that great engineers can quickly get up to speed, and we'll provide the support and time you need to do thatWe offer:Competitive SalariesHybrid working environmentPaid time offHealthcare coverageA highly collaborative team environment that will support your professional and personal growthA culture of learning and innovationOffice located at Maadi, Cairo",
"Frontend Developer ""React""",https://wuzzuf.net/jobs/p/tm6Nkp6itlnm-Frontend-Developer-React-Bydotpy-Cairo-Egypt,mobile app,Bydotpy ,New Cairo,2 monthsago,Egypt,Full Time,2 to 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Develop and maintain web applications using React and its ecosystem. .Collaborate with other developers, designers, and stakeholders to understand and translate requirements into functional and technical solutions. .Write clean, maintainable, and efficient code following best practices and coding standards. .Perform code reviews and contribute to the continuous improvement of our codebase. .Troubleshoot and debug applications to optimize performance and resolve issues. .Participate in the full software development life cycle: planning, development, testing, and deployment. .Stay up-to-date with the latest developments in React and the JavaScript ecosystem.","with 2+ years of professional experience working with React.Strong proficiency in JavaScript (ES6+), including its latest features and best practices.Solid understanding of React and its core principles, such as component lifecycle, state management, and hooks.Experience with popular React libraries and tools, such as Redux, React Router, and Material-UI.Familiarity with RESTful APIs, GraphQL, or other data fetching methods.Knowledge of HTML5, CSS3, and CSS preprocessors like Sass or Less.Familiarity with version control systems, preferably Git.Experience with testing and debugging tools, such as Jest, React Testing Library, or Enzyme.Strong problem-solving skills and attention to detail.Excellent verbal and written communication skills.Nice-to-Have SkillsExperience with other front-end frameworks or libraries, such as Angular or Vue.js.Familiarity with mobile app development using React Native.Knowledge of performance optimization techniques for web applications.Experience with build tools and automation, such as Webpack, Babel, or Gulp.work condition:5 working days: Sunday to Thursdayworking hours 10 Am to 6 Pm.What Bydotpy Offers:A competitive salary and performance-based bonuses.A benefits package that includes social and medical insurance.An exciting company culture that encourages creativity and innovation.Professional development opportunities in a fast-growing company.Please submit your application with your resume and a brief summary of your relevant experience.",
Front End Engineer (Angular/Ionic) High Growth Startup,https://wuzzuf.net/jobs/p/CVSCMekgZvcB-Front-End-Engineer-AngularIonic-High-Growth-Startup-Deal-Cairo-Egypt,mobile app,Deal ,Cairo,1 monthago,Egypt,Full Time,More than 2 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Implement a secure, well designed and responsive ionic web app that works on mobile and desktop.(PWA) .Build dynamic dashboards with custom tables and charts .Build and maintain updated libraries and abstractions and ensure user interface work well on all screen sizes, with cross-browser support. .Design Photoshop & illustrator files into HTML Pages .Create website layouts and user interface by using standard HTML/CSS/JS practices from designs/mockups .Assure that all user input is validated before submitting to back-end .Go through legacy code for existed projects to enhance and add more features. .Optimize application for maximum speed and scalability .Collaborate with other team members and stakeholders. .Ability to share constructive feedback with team members (pull requests reviews)","Experience with JS, CSS and SASS, ionic 5+ and Capacitor.Familiarity with Socket, Google mapsFamiliarity with Git, CI/CD, JIRA is a plusFamiliarity with Angular Universal or other SSR solutions is a plusFamiliarity with advance caching and custom lazy loading mechanisms is a plusFamiliarity with auto update solutions (live update, appflow,…) is a plus",
Sales Admin,https://wuzzuf.net/jobs/p/FVNFrY8wF0Zi-Sales-Admin-iskan-Giza-Egypt,mobile app,iskan ,Giza,1 monthago,Egypt,Full Time,0 to 1 year,Entry Level (Junior Level / Fresh Grad),Not Specified,4000 to 5000 EGP Per Month,"Provide administrative assistance to the staff, such as creating fingerprints and Coordinate check-ins and check-outs and break schedule (Create manual attendance sheet). Create users,passwords, and handle issues related to laptop programs and apps, such as CRM, sharing folders.",Communication skills.Bachelor's degreeAttention to details.Planning and organizingTime managementExcellent in Microsoft office (Word - Excel),
User Acquisition Manager,https://wuzzuf.net/jobs/p/EEAtiFHVZ8mR-User-Acquisition-Manager-Games-Factory-Talents-Riyadh-Saudi-Arabia,mobile app,Games Factory Talents. ,Riyadh,2 daysago,Saudi Arabia,Full Time,Not Specified,Not specified,Not Specified,Confidential,"Responsible for User Acquisition. .Own strategy across paid marketing channels globally including the spend and performance of important budgets. .Lead paid media planning and campaign development working within a fixed budget. .Execute campaigns across various ad platforms including In-app ad networks, Google Ads, Facebook, Apple Search Ads, TikTok, etc. .Set objectives, relevant KPIs for each campaign/channel and monitor them closely in order to adapt investment strategies, assets and content. Be able to estimate expected LTV. .Be in contact with ad network representatives and work with them to learn best practices and optimize campaigns. .Evaluate competitor UA campaigns. .Optimize and analyze campaign results on a daily basis to fine-tune budget allocations. .Partner closely with our Data & Research team to measure effectiveness, drive efficiency and develop impactful insights across the organization. .Collaborate with Brand/Creative teams on the development of all creative assets (including static/video assets used for paid channels). .Coordinate with the Brand Manager to ensure alignment across marketing strategy and prioritization.","Our client, a world-leading game studio in Riyadh, is seeking a User Acquisition Manager to own paid media, growth, and analysis to support SGS upcoming game titles. She/he will succeed in being able to acquire users from multiple traffic sources, understand how to estimate whether the traffic buys are profitable at an early stage and iterate creatives in order to improve the performances with innovative and performant digital marketing techniques in the mobile game's world.The UA Manager will utilize owned and paid channels to raise awareness and acquire an engaged user base by building and executing on user acquisition strategies for each game title. As a key strategic member of the marketing team s/he will encouraged to nurture data insights to inform and optimize marketing plans that will ultimately contribute to our continually evolving best practices.Responsibilities:Responsible for User Acquisition.Own strategy across paid marketing channels globally including the spend and performance of important budgets.Lead paid media planning and campaign development working within a fixed budget.Execute campaigns across various ad platforms including In-app ad networks, Google Ads, Facebook, Apple Search Ads, TikTok, etc.Set objectives, relevant KPIs for each campaign/channel and monitor them closely in order to adapt investment strategies, assets and content. Be able to estimate expected LTV.Be in contact with ad network representatives and work with them to learn best practices and optimize campaigns.Evaluate competitor UA campaigns.Optimize and analyze campaign results on a daily basis to fine-tune budget allocations.Partner closely with our Data & Research team to measure effectiveness, drive efficiency and develop impactful insights across the organization.Collaborate with Brand/Creative teams on the development of all creative assets (including static/video assets used for paid channels).Coordinate with the Brand Manager to ensure alignment across marketing strategy and prioritization.Requirements7+ years of experience in paid mobile app marketing with an understanding of app store optimization. Bachelor’s degree.Demonstrated ability to meet revenue goals and drive post-app install metrics.Analytical mindset. Have the ability to draw insights from data.Skilled in data synthesis and developing narratives to communicate results to Marketing, Production and Management teams.SQL knowledge.BenefitsCompetitive salary + bonus.Generous relocation budget and assistance.Rent budget provided for a year.Tuition for children to attend international school.1 x ticker per person every year to travel back home.2500 USD per year for gym or leisure.VIP health insurance.1 x month hotel expenses covered (while apartment-hunting).",
